id,privacy_api_class,privacy_api_method,privacy_api,description
277,android.content.pm.PackageManager,getInstalledApplicationsAsUser,,"Allows query of any normal app on the device, regardless of manifest declarations."
278,android.content.pm.PackageManager,getInstalledPackages,Landroid/content/pm/PackageManager;.getInstalledPackages:(I)Ljava/util/List;,"Allows query of any normal app on the device, regardless of manifest declarations."
279,android.content.pm.PackageManager,getInstalledPackagesAsUser,,"Allows query of any normal app on the device, regardless of manifest declarations."
280,android.location.LocationManager,getLastKnownLocation,Landroid/location/LocationManager;.getLastKnownLocation:(Ljava/lang/String;)Landroid/location/Location;,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
281,android.location.LocationManager,getLastLocation,,"Allows an app to access approximate location. Alternatively, you might  want ACCESS_FINE_LOCATION"
282,android.bluetooth.BluetoothHeadsetClient,getLastVoiceTagNumber,,Required to be able to connect to paired Bluetooth devices.
283,android.media.ExifInterface,getLatLong,Landroid/media/ExifInterface;.getLatLong:([F)Z,Allows an application  to access any geographic locations persisted in the user's shared collection
284,android.telephony.TelephonyManager,getLine1AlphaTag,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
285,android.telephony.TelephonyManager,getLine1Number,Landroid/telephony/TelephonyManager;.getLine1Number:()Ljava/lang/String;,Allows read access to the device's phone number(s). This is a subset of the capabilities granted by READ_PHONE_STATE but is exposed to instant applications
286,android.telecom.TelecomManager,getLine1Number,Landroid/telecom/TelecomManager;.getLine1Number:(Landroid/telecom/PhoneAccountHandle;)Ljava/lang/String;,Allows read access to the device's phone number(s). This is a subset of the capabilities granted by READ_PHONE_STATE but is exposed to instant applications
287,android.provider.ContactsContract$Contacts,getLookupUri,Landroid/provider/ContactsContract$Contacts;.getLookupUri:(JLjava/lang/String;)Landroid/net/Uri;,Allows an application  to read the user's contacts dat
288,android.provider.ContactsContract$Contacts,getLookupUri,Landroid/provider/ContactsContract$Contacts;.getLookupUri:(Landroid/content/ContentResolver;Landroid/net/Uri;)Landroid/net/Uri;,Allows an application  to read the user's contacts dat
289,android.telephony.TelephonyManager,getLteOnCdmaMode,,"Allows read only access to phone state, including the current cellular  network information, the status of any ongoing calls, and a list of any  android.telecom.PhoneAccounts registered on the device. Note: If both your  minSdkVersion and targetSdkVersion values are set to 3 or lower, the system  implicitly grants your app this permission. If you don't need this  permission, be sure your targetSdkVersion is 4 or higher"
290,android.bluetooth.BluetoothHealth,getMainChannelFd,Landroid/bluetooth/BluetoothHealth;.getMainChannelFd:(Landroid/bluetooth/BluetoothDevice;Landroid/bluetooth/BluetoothHealthAppConfiguration;)Landroid/os/ParcelFileDescriptor;,Required to be able to connect to paired Bluetooth devices.
